Date,Article Sentiment,Impact Score
01-01-2015,0.022,71.208
31-12-2014,0.259,71.755
30-12-2014,0.149,71.21
29-12-2014,0.105,71.367
28-12-2014,0.155,71.32
27-12-2014,-0.561,72.061
26-12-2014,0.105,70.818
25-12-2014,0.288,70.34
24-12-2014,0.18,70.94
23-12-2014,0.159,71.167
22-12-2014,0.044,70.581
21-12-2014,-0.117,70.904
20-12-2014,-0.213,72.098
19-12-2014,0.051,70.923
18-12-2014,-0.364,72.005
17-12-2014,-0.216,71.269
16-12-2014,-0.031,71.008
15-12-2014,0.192,71.699
14-12-2014,-0.098,71.384
13-12-2014,0.003,71.06
12-12-2014,0.054,70.388
11-12-2014,0.023,70.529
10-12-2014,-0.306,70.24
09-12-2014,-0.298,72.24
08-12-2014,-0.304,70.852
07-12-2014,-0.633,70.726
06-12-2014,-0.148,70.984
05-12-2014,-0.069,71.093
04-12-2014,-0.174,71.364
03-12-2014,-0.268,71.692
02-12-2014,-0.205,71.176
01-12-2014,0.048,70.471
30-11-2014,0.307,70.543
29-11-2014,0.195,70.18
28-11-2014,-0.13,71.437
27-11-2014,0.005,71.933
26-11-2014,-0.097,71.114
25-11-2014,-0.022,70.931
24-11-2014,-0.055,70.159
23-11-2014,0.337,70.089
22-11-2014,0.146,71.432
21-11-2014,-0.203,71.423
20-11-2014,-0.134,70.422
19-11-2014,0.153,71.622
18-11-2014,0.296,70.747
17-11-2014,0.21,72.021
16-11-2014,-0.051,71.723
15-11-2014,-0.317,72.427
14-11-2014,-0.079,71.303
13-11-2014,-0.34,71.3
12-11-2014,-0.351,72.123
11-11-2014,-0.011,71.539
10-11-2014,-0.196,72.696
09-11-2014,-0.194,72.333
08-11-2014,-0.221,73.308
07-11-2014,-0.225,74.702
06-11-2014,-0.069,71.869
05-11-2014,-0.057,71.329
04-11-2014,0.135,70.771
03-11-2014,-0.029,71.137
02-11-2014,-0.149,70.998
01-11-2014,0.012,70.53
31-10-2014,-0.066,70.437
30-10-2014,-0.349,70.962
29-10-2014,-0.12,70.596
28-10-2014,-0.296,70.301
27-10-2014,-0.147,70.509
26-10-2014,0.009,71.167
25-10-2014,0.185,70.665
24-10-2014,-0.054,70.699
23-10-2014,-0.126,71.722
22-10-2014,0.245,72.114
21-10-2014,0.233,71.15
20-10-2014,0.267,71.35
19-10-2014,0.136,71.008
18-10-2014,0.208,70.902
17-10-2014,0.203,70.228
16-10-2014,-0.345,70.772
15-10-2014,-0.471,71.346
14-10-2014,-0.016,71.434
13-10-2014,0.146,71.36
12-10-2014,-0.071,71.545
11-10-2014,0.22,72.127
10-10-2014,0.277,73.729
09-10-2014,-0.136,71.952
08-10-2014,-0.03,72.009
07-10-2014,-0.243,72.64
06-10-2014,0.326,72.239
05-10-2014,0.137,70.882
04-10-2014,0.168,71.338
03-10-2014,-0.031,70.793
02-10-2014,-0.121,71.2
01-10-2014,-0.047,70.552
30-09-2014,-0.334,71.61
29-09-2014,-0.153,70.559
28-09-2014,-0.223,73.104
27-09-2014,-0.301,73.138
26-09-2014,-0.472,72.918
25-09-2014,0.207,71.419
24-09-2014,-0.004,70.731
23-09-2014,0.018,70.591
22-09-2014,0.309,70.435
21-09-2014,-0.015,71.041
20-09-2014,0.062,71.554
19-09-2014,0.105,73.121
18-09-2014,-0.095,72.268
17-09-2014,-0.003,71.141
16-09-2014,-0.065,71.796
15-09-2014,-0.101,70.993
14-09-2014,0.025,71
13-09-2014,0.048,71.015
12-09-2014,0.077,71.141
11-09-2014,0.131,70.618
10-09-2014,0.195,70.566
09-09-2014,0.19,71.719
08-09-2014,0.233,72.026
07-09-2014,0.031,72.729
06-09-2014,-0.167,72.498
05-09-2014,-0.302,72.533
